Generation,Elapsed Time (milliseconds),Elapsed Time (mm:ss.mili),Population Size,Tournament Size,Max Generations,Initial Tree Height,Max Tree Height,Mutation Tree Height,Initial Generation Method,Reproduction Method,Input Training Data,Final Fitness Goal,Crossover Probability,Reproduction Probability,Mutation Probability,Final Fitness,Final Height,Final isValid,First Fitness,First Height,First isValid,Final Tree,First Tree
302,1673," 00:01.673 ",100,4,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,2.220446049250313E-16,10,true,2.489986802333334E9,4,true,(((4-x)-4)/((5--6)+5))*(((-1/(((5-x)-5)/((x+4)+(((5-1)+((4--6)+(4+4)))--6))))-1)-(4*(x+(3*x)))),(((-8-x)-(-7*-4))/((5--6)+(-6+4)))*(((-9-7)-(1+4))-((4*1)*(x+x)))
178,780," 00:00.780 ",100,4,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,5,true,2.24320371345E10,4,true,(x*x)+(-2-(((7-9)-0)-(-7--5))),(((7-3)*(-9+-7))-((1-6)-(-3*-2)))*(((3/-4)*(x*5))-((-4-5)+(4+2)))
54,174," 00:00.174 ",100,4,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,9.31322596819939E-9,8,true,2.2378044772885715E10,4,true,(((6+6)+(-8+x))/((9*((3+6)*(-1/-3)))+(2/-2)))*(((((6+(-8*-1))/((3+9)+(-8+x)))+(((-8--8)/(-8+(-8+x)))/x))-(4-x))*((6+(-8*-2))+4)),(((-8+3)/(-2/-8))*((-6*-4)+(3/-5)))*(((-2/7)-(x+-9))+((4/-5)/(2*-6)))
29,65," 00:00.65 ",100,4,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,4,true,2.2434880371E10,4,true,(x*(5-(5-x)))+-2,(((1*9)-(-4/-3))*((2+5)+(8+9)))*(((0/-2)+(x--3))-((-5+2)*(7*5)))
26,79," 00:00.79 ",100,4,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,3.725290353973065E-9,8,true,1.2138142782759123E10,4,true,(((0+x)-(1/((0+x)-(1/((4-8)-(-4-x))))))*((0+x)-(1/x)))+(((-2/x)*0)/x),(((-1--2)/(8+-6))+((x*-9)*(x-0)))/(((x/x)*(9-8))+((8/7)*(-9*2)))
56,204," 00:00.204 ",100,4,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,10,true,2.2461722131E10,4,true,(x*x)+(8+((5-((5-(8+((5-(9+8))-((-1--4)+-1))))+8))-(-3+-1))),(((6/-8)-(-8--4))+((x+-4)*(9+8)))/(((1*-1)/(4+-7))-((9-9)*(-3--3)))
284,1256," 00:01.256 ",100,4,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,1.9099377579090415E-4,10,true,8.523849182729064E9,4,true,(((6/(((0*x)/(3/-8))+(-4+3)))/(6+2))/((5-4)/(-3+6)))-(((((((5/-8)+-4)/(((6*x)/-3)/(2/2)))-((-4/x)-((-4*-3)*(x+x))))/-3)*(x/8))-(((((0/-8)+-4)/(x/x))-(x-((x/2)/3)))/((((2+(x/x))/-3)-((6/(((4/2)/3)-(x/x)))-(-4*(x+(4+5)))))*(-4*4)))),(((x/2)*(x*-9))/((5*-1)-(-9/-4)))+(((-4/6)*(9/7))-((1/6)-(-8*-8)))
15,42," 00:00.42 ",100,4,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,7,true,1.688026464120046E10,4,true,((((-6/-6)-2)*(x-2))-((x-0)*((-7-((-1*-1)-7))+x)))/(((-6/-6)-(2+0))-(0/(-9*-6))),(((7/-9)*(1*-2))-((x-0)*(-8+x)))/(((-6/-6)-(2+3))-((-1*-1)/(-9*-6)))
77,185," 00:00.185 ",100,4,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,1.1102230246251565E-16,6,true,2.2457500959E10,4,true,x*(x-(((-9-(-6/-6))/-5)/x)),(((-9-1)+(1/2))*((4+6)-(-9*2)))+(((-8+1)+(6+2))*((8*9)*(5+x)))
16,30," 00:00.30 ",100,4,500000,4,10,2,FULL,TOURNAMENT_SELECTION,20001 15313.5 3961.5 1105.5 3 1.5 365.5 4803 7939 147425.5,0.001,90%,10%,5%,0.0,4,true,1807764.0,4,true,(((7+-4)+(x*x))+4)-9,(((-8+-4)+(x*x))+((2-x)*(3*-3)))-(((-4-8)-(-9*6))-((4+-2)+(3*-1)))
